OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
100,52.01,52.1,0.13115,34761.72322,4559,2000 Tract 52.01,3039,346,0.07589,4213,0.9241,79,366,-566,44,191,196,232,1.763,4480,4559,79,0.01763,2436,1031,18,317,7,22,588,717,0.23593,52.1, ,91,214,9,45,82,59,305,57,0,57,2633400,0,2633400,487,2052,213381688,71412.8809,50469.5,0,0,223549697,62330,Tract00Ply_116,,,,,0,0
101,50,50,0.1692,43014.1844,7278,2000 Tract 50,3614,931,0.12791,6347,0.87208,826,1282,-1053,61,247,1131,725,12.802,6452,7278,826,0.12802,1894,2635,11,392,1,26,2145,827,0.22883,50, ,253,284,46,162,132,132,537,78,0,78,14519000,0,14519000,647,1958,201376016,64876.2938,43902.5,0,0,190841951,53562.5,Tract00Ply_117,,,,,0,0
102,49.01,49.1,0.10496,19178.73476,2013,2000 Tract 49.01,838,503,0.24987,1510,0.75012,19,68,-121,15,50,37,48,0.953,1994,2013,19,0.00952,235,1569,14,57,0,2,105,245,0.29236,49.1, ,51,53,23,22,138,109,104,0,0,0,0,0,0,114,328,31201320,39797.602,26474,0,0,28920749,32110,Tract00Ply_118,,,,,0,0
103,2.01,2.1,0.1989,22458.52187,4467,2000 Tract 2.01,28,32,0.00716,4435,0.99283,631,866,-147,-7,-18,-191,-61,16.449,3836,4467,631,0.16449,3852,239,0,242,56,1,75,15,0.53571,2.1, ,1,3,1,0,2,1,4,0,0,0,0,0,0,8,12,10705176,243299.4545,114048.5,0,0,13587405,151880.5,Tract00Ply_119,,,,,0,0
104,49.02,49.2,0.10188,22438.16254,2286,2000 Tract 49.02,1008,543,0.23753,1743,0.76246,712,187,393,28,36,208,120,45.235,1574,2286,712,0.45235,246,1341,4,52,0,8,610,102,0.10119,49.2, ,108,74,25,46,129,71,182,0,0,0,0,0,0,146,409,48846910,49240.8367,35150,0,0,44909197,41528,Tract00Ply_81,,,,,0,0
105,48.02,48.2,0.11124,25647.24919,2853,2000 Tract 48.02,1154,734,0.25727,2119,0.74272,-237,-10,-492,22,203,96,78,-7.67,3090,2853,-237,-0.07669,149,2155,6,333,0,6,174,172,0.14904,48.2, ,103,128,16,42,224,139,231,2,0,2,71715,0,71715,95,407,42851004,34008.7333,26727.5,0,0,37853540,30076,Tract00Ply_82,,,,,0,0
106,96.02,96.2,0.52454,5921.37873,3106,2000 Tract 96.02,1302,1115,0.35898,1991,0.64101,634,3,609,20,11,27,11,25.647,2472,3106,634,0.25647,8,3035,5,5,2,0,31,103,0.0791,96.2, ,79,77,26,30,424,188,156,0,0,0,0,0,0,70,408,26282422,25467.4632,22584.5,0,0,24300702,26314,Tract00Ply_83,,,,,0,0
107,85,85,0.2044,15699.60861,3209,2000 Tract 85,1129,829,0.25833,2380,0.74166,-457,-16,-437,0,5,21,25,-12.466,3666,3209,-457,-0.12465,128,2935,5,23,1,1,94,671,0.59433,85.1,Number Change,87,150,22,56,150,208,237,0,0,0,0,0,0,113,343,50699794,41252.8836,30709,0,0,47094962,36068.5,Tract00Ply_84,,,,,0,0
108,88.02,88.2,0.18214,22839.57395,4160,2000 Tract 88.02,1639,1074,0.25817,3086,0.74182,-612,36,-650,39,12,15,10,-12.825,4772,4160,-612,-0.12824,49,3980,11,9,0,1,57,761,0.4643,88.2, ,85,229,46,68,203,269,314,0,0,0,0,0,0,118,621,47721762,30261.1046,24674,0,0,42330307,28226,Tract00Ply_85,,,,,0,0
109,58,58,0.35357,4157.59256,1470,2000 Tract 58,925,96,0.0653,1374,0.93469,683,664,49,2,-24,18,13,86.785,787,1470,683,0.86785,697,199,1,490,1,3,62,215,0.23243,58, ,47,177,5,15,6,15,224,0,0,0,0,0,0,43,617,104490432,92963.0178,66217,0,0,107534943,86001,Tract00Ply_86,,,,,0,0
110,57.01,57.1,0.15249,28598.59663,4361,2000 Tract 57.01,1292,29,0.00664,4332,0.99335,-795,-1097,71,0,260,19,43,-15.419,5156,4361,-795,-0.15418,3132,291,7,651,10,10,201,89,0.06888,57.1, ,11,48,2,16,3,13,59,0,0,0,0,0,0,226,973,14500952,34526.0762,26498.5,0,0,15402827,38211.5,Tract00Ply_87,,,,,0,0
111,78.03,78.3,0.38942,7940.01335,3092,2000 Tract 78.03,1303,756,0.2445,2336,0.75549,-984,32,-998,4,2,14,10,-24.141,4076,3092,-984,-0.24141,33,2995,2,5,0,1,32,633,0.4858,78.3,Boundary Change,73,187,34,57,167,212,260,1,1,0,23760,23760,0,76,497,42115487,31689.6065,27911,0,0,38299724,30868,Tract00Ply_88,,,,,0,0
112,59,59,0.24858,7466.4092,1856,2000 Tract 59,642,189,0.10183,1667,0.89816,-100,-52,-73,15,49,8,39,-5.112,1956,1856,-100,-0.05112,155,1502,4,59,1,9,75,8,0.01246,59, ,24,45,3,12,46,33,69,49,0,49,4400000,0,4400000,43,436,52478365,59364.6663,44183.5,0,0,52654514,60468.5,Tract00Ply_89,,,,,0,0
113,78.04,78.4,0.3292,10297.69137,3390,2000 Tract 78.04,1157,1048,0.30914,2342,0.69085,-232,-10,-208,2,6,2,13,-6.405,3622,3390,-232,-0.06405,21,3316,5,5,0,0,19,491,0.42437,78.4,Boundary Change,63,140,36,37,306,183,203,1,1,0,78000,78000,0,47,345,30553413,30191.1196,23147.5,0,0,27378483,26841,Tract00Ply_90,,,,,0,0
